adcode,name,longitude,latitude
340600000000,淮北市,116.8045373,33.9616563
341600000000,亳州市,115.7844632,33.8506427
341300000000,宿州市,116.9705439,33.65209533
340300000000,蚌埠市,117.3955133,32.9215237
341200000000,阜阳市,115.8204361,32.89606099
340400000000,淮南市,117.0063889,32.6318474
341100000000,滁州市,118.3394061,32.26127087
341500000000,六安市,116.5264097,31.74145082
340500000000,马鞍山市,118.5135796,31.6762656
340200000000,芜湖市,118.4394314,31.35853666
341800000000,宣城市,118.7655342,30.94660155
340700000000,铜陵市,117.8184768,30.95123324
341700000000,池州市,117.502082,30.68054196
340800000000,安庆市,117.1212828,30.53922248
341000000000,黄山市,118.1476098,30.27865098
360100000000,南昌市,115.8645894,28.6894553
360400000000,九江市,115.9606612,29.66666085
360200000000,景德镇市,117.1845764,29.27424771
361100000000,上饶市,117.9494596,28.46062592
360600000000,鹰潭市,117.0755754,28.26578706
361000000000,抚州市,116.3645388,27.95489225
360500000000,新余市,114.9235347,27.8235787
360900000000,宜春市,114.4235637,27.82085642
360300000000,萍乡市,113.8936966,27.66475255
360800000000,吉安市,115.0005107,27.11972683
360700000000,赣州市,114.9405034,25.8351761
410100000000,郑州市,113.6314192,34.75343885
410500000000,安阳市,114.3995004,36.10594098
410600000000,鹤壁市,114.3035936,35.75235741
410900000000,濮阳市,115.0355975,35.76759303
410700000000,新乡市,113.8115938,35.19656441
410800000000,焦作市,113.2485478,35.22096325
411200000000,三门峡市,111.2065332,34.77832725
410200000000,开封市,114.3207651,34.80401391
410300000000,洛阳市,112.4594213,34.62426278
411400000000,商丘市,115.6624493,34.42020167
411000000000,许昌市,113.8584755,34.04143161
410400000000,平顶山市,113.1995286,33.77205075
411600000000,周口市,114.7079827,33.64308358
411100000000,漯河市,114.0234208,33.58771071
411300000000,南阳市,112.5345013,32.9965622
411700000000,驻马店市,114.0284708,33.01784242
411500000000,信阳市,114.0974828,32.15301455
420100000000,武汉市,114.3115816,30.59846674
420300000000,十堰市,110.8045296,32.63506186
420600000000,襄阳市,112.1285372,32.0147968
421300000000,随州市,113.38945,31.69651677
420800000000,荆门市,112.206393,31.04173258
420900000000,孝感市,113.9634627,30.92452626
420500000000,宜昌市,111.2925492,30.69744648
421100000000,黄冈市,114.8784905,30.45935886
420700000000,鄂州市,114.9016074,30.39657217
421000000000,荆州市,112.2455226,30.34084211
420200000000,黄石市,115.0455329,30.20520785
421200000000,咸宁市,114.3285191,29.84705595
422800000000,恩施土家族苗族自治州,109.4945926,30.27793958
430100000000,长沙市,112.9454732,28.2348894
430600000000,岳阳市,113.1354894,29.36317829
